ACCE_ABSORB_COST	تكاليف الدمج: %d
GUILD_SITE_AUCTION_END_TIME_DEFAULT	مزاد الأراضي: N/A
GUILD_SITE_AUCTION_INFO	الأرض المعروضة: %s / %d،%d
GUILD_SITE_AUCTION_INFO_DEFAULT	الأرض المعروضة: N/A
GUILD_SITE_AUCTION_MAP_INFO	التاريخ (الشهر/اليوم): %02d/%02d، الوقت: الساعة %02d:%02d
GUILD_SITE_AUCTION_STATE_NONE	تم تقديم جميع العروض.
GUILD_SITE_AUCTION_STATE_REGIST	تم في %s عر الأرض %s،%s للمزاد. يمكن فقط لقائد الرابطة التسجيل لمزاد الأراضي.
GUILD_SITE_AUCTION_STATE_RUN	ينتهي مزاد الأراضي في: %02d/%02d (الشهر/اليوم) في تمام الساعة %02d:%02d.
GUILD_SITE_AUCTION_STATE_WAIT	سيبدأ مزاد الأراضي في: %02d/%02d (الشهر/اليوم) في تمام الساعة %02d:%02d للأرض %s، الواقعة في %d,%d.
GUILD_SITE_AUTO_ABNDON_TIME	التخلي التلقائي عن الأرض: %s
GUILD_SITE_TAX_INFO	سيتم التخلي عن أرض الرابطة في %s. سيتم حذف جميع البنود في مستودع الرابطة.
GUILD_TILE_BASEINFO	معلومات عن الأرض
GUILD_TILE_BOARD	مذكرات خاصة بالرابطة
GUILD_TILE_GRADE	إدارة الحقوق
GUILD_TILE_GUILD_BATTLE	معركة الرابطة
GUILD_TILE_GUILD_CONTENTS_LIST	معركة الرابطة
GUILD_TILE_INFO	معلومات الرابطة
GUILD_TILE_MEMBER	الأعضاء
GUILD_TILE_SKILL	مهارات الروابط
GUILD_USE_MASTER_ONLY	إن هذا الحق هو من ملك قائد الرابطة فقط.
GUILD_VILLAGE_01	ميريانغ
GUILD_VILLAGE_02	سونغبا
GUILD_VILLAGE_03	دايامي
GUILD_WAR1	منطقة حرب الرابطة
GUILD_WAR2	منطقة حرب الرابطة
GUILD_WAR3	منطقة حرب الرابطة
GUILD_WAR4	منطقة حرب الرابطة
GUILD_WAR_GAINSCORE_FIFTY	50 نقطة
GUILD_WAR_GAINSCORE_HUNDRED	100 نقطة
GUILD_WAR_GAINSCORE_THIRTY	30 نقطة
GUILD_WAR_GAMETIME_SIXTY	60 دقيقة
GUILD_WAR_GAMETIME_TEN	10 دقائق
GUILD_WAR_GAMETIME_THIRTY	30 دقيقة
GUILD_WAR_LIMIT_30MIN	الوقت: 30 دقيقة
GUILD_WAR_REWARD_POTION	مكافأة: سيحصل الفائز على جرع
GUILD_WAR_SELECT_WAR	اختيار نوعية القتال
GUILD_WAR_TYPE_DEFENSE	قتال الدروع
GUILD_WAR_TYPE_DIE	ساحة الحرب
GUILD_WAR_TYPE_FLAG	قتال الأعلام
GUILD_WAR_TYPE_NORMAL	ميدان القتال
GUILD_WAR_TYPE_TIGER	معركة الإبادة
GUILD_WAR_TYPE_TIME	هجوم زمني
GUILD_WAR_USE_BATTLE_MAP	المكان: ساحة الحرب للرابطة
GUILD_WAR_USE_NORMAL_MAP	مكان: خريطة عادية
GUILD_WAR_WIN_CHECK_SCORE	ستفوز الرابطة التي حصلت على أكبر عدد من الانتصارات بالحرب.
GUILD_WAR_WIN_FIVE	خمس جولات
GUILD_WAR_WIN_ONE	جولة
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	استولي على علم الخصم
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	وخذه إلى مقرك.
GUILD_WAR_WIN_THREE	ثلاث جولات
GUILD_WAR_WIN_WIPE_OUT_GUILD	عليك القضاء على جميع الخصوم لكي تفوز.
GUILD_WITHDRAW	انسحاب
GUILD_YOU_DO_NOT_JOIN	إنك لا تنتمي إلى أي رابطة.
HACK_USER_MESSAGE	هذه الميزة غير متاحة لأنه تم العثور على برنامج غش.
HORSE_HEALTH0	ميت
HORSE_HEALTH1	يموت جوعاً
HORSE_HEALTH2	جائع
HORSE_HEALTH3	مملوء
HORSE_LEVEL1	حصان عادي
HORSE_LEVEL2	حصان مدرع
HORSE_LEVEL3	حصان الجيش
HORSE_LEVEL4	حصان حربي عظيم
HOUR	س
HOW_MANY_ITEM_DO_YOU_DROP1	هل ترغب في إسقاط  %s؟
HOW_MANY_ITEM_DO_YOU_DROP2	هل ترغب في إسقاط %s لـ%d؟
ICECREAM_EVENT_EXCHANGE_SCOOP_SUCCESS	لقد قمت بنقل %d كرات ثلجية إلى قائمة الاحتفاليات الجديدة.
ICECREAM_EVENT_GET_SCOOP	لقد حصلت على كرة ثلجية.
ICECREAM_EVENT_SCOOP_MAX_COUNT	لا يمكنك الحصول على المزيد من الكرات الثلجية.
INPUT_MATRIX_CARD_NUMBER	أدخل رقم بطاقة الماتريكس
INPUT_MATRIX_CARD_TITLE	بطاقة الماتريكس
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	أدخل شفرة الحذف من خيار إدارة الحساب.
INPUT_PRIVATE_CODE_DIALOG_TITLE	حذف الشخصية
INVENTORY_DO_NOT_PACK_WARP_SCROLL	لا يمكن دمج اللفائف.
INVENTORY_REALLY_USE_ITEM	هل ترغب في تفعيل هذا البند على هذا الشيء؟
INVENTORY_REALLY_USE_ITEM2	هل تريد استعمال هذا البند؟
INVENTORY_REALLY_USE_PET_BAG_ITEM	هل ترغب حقّا في وضع الرفيق في قفص النقل؟
INVENTORY_REALLY_USE_PET_BAG_TAKE_OUT	هل ترغب في فتح قفص النقل؟
INVENTORY_REALLY_USE_PET_FEEDSTUFF_ITEM	هل ترغب في إطعام %s بــ %s؟
IS_NOT_PET_CHANGE_ITEM	هذا ليس بند سحر الرفيق.
IS_NOT_PET_ITEM	هذا ليس رفيق.
ITEM_CANNOT_REFINE	لا يمكن تحسين هذا الشيء.
ITEM_TOOLTIP_DESC_GEM_BAG_DEFAULT	بعد استخدامه، يمكنك تعبئته بما يصل إلى 9.999 غايا. | يختفي بعد 30 يومًا.\nكيس غايا قابل للمتاجرة.
ITEM_TOOLTIP_DESC_GEM_BAG_HAVE_GEM	كيس غايا (%d غايا، قابل للمتاجرة). \nعندما تفتح الكيس، ستحصل على %d غايا.
ITEM_TOOLTIP_DESC_GEM_BAG_REWARD	كمكافأة على تشجيع الفريق الفائز، ستحصل على حقيبة غايا الرياضية.\nالغير قابلة للمتاجرة.
ITEM_TOOLTIP_DESC_GEM_BAG_REWARD_HAVE_GEM	حقيبة الغايا الرياضية (%d غايا، غير قابل للمُتاجرة). \nعندما تفتح الحقيبة، ستحصل على %d غايا.
JOB_ASSASSIN	نينجا
JOB_ASSASSIN0	لا شيء
JOB_ASSASSIN1	نينجا القتال عن قرب
JOB_ASSASSIN2	نينجا القتال عن بعد
JOB_SHAMAN	شامان
JOB_SHAMAN0	لا شيء
JOB_SHAMAN1	شامان التنين
JOB_SHAMAN2	شامان الشفاء
JOB_SURA	سورا
JOB_SURA0	لا شيء
JOB_SURA1	سورا القتال السحري
JOB_SURA2	سورا السّحر الأسود
JOB_WARRIOR	محارب
JOB_WARRIOR0	لا شيء
JOB_WARRIOR1	مصارع
JOB_WARRIOR2	مقاتل ذهني
JOB_WOLFMAN	ليكانر
JOB_WOLFMAN0	ليكانر هاوي
JOB_WOLFMAN1	غريزة
JOB_WOLFMAN2	غير متاح
KEYCHANGE_DONT_SAVE_EXIT	إغلاق بدون حفظ؟
KEYCHANGE_IMPOSSIBLE_CHANGE	لا يسمح هنا باستعمال [CTRL]، [ALT]، و [SHIFT]!
KEYCHANGE_SAVE_EXIT	احفظ واغلق؟
KEY_0	0
KEY_0_LALT	ALT + 0
KEY_0_LCONTROL	CTRL + 0
KEY_0_LSHIFT	SHIFT + 0
KEY_1	1
KEY_1_LALT	ALT + 1
KEY_1_LCONTROL	CTRL + 1
KEY_1_LSHIFT	SHIFT + 1
KEY_2	2
KEY_2_LALT	ALT + 2
KEY_2_LCONTROL	CTRL + 2
KEY_2_LSHIFT	SHIFT + 2
KEY_3	3
KEY_3_LALT	ALT + 3
KEY_3_LCONTROL	CTRL + 3
KEY_3_LSHIFT	SHIFT + 3
KEY_4	4
KEY_4_LALT	ALT + 4
KEY_4_LCONTROL	CTRL + 4
KEY_4_LSHIFT	SHIFT + 4
KEY_5	5
KEY_5_LALT	ALT + 5
KEY_5_LCONTROL	CTRL + 5
KEY_5_LSHIFT	SHIFT + 5
KEY_6	6
KEY_6_LALT	ALT + 6
KEY_6_LCONTROL	CTRL + 6
KEY_6_LSHIFT	SHIFT + 6
KEY_7	7
KEY_7_LALT	ALT + 7
KEY_7_LCONTROL	CTRL + 7
KEY_7_LSHIFT	SHIFT + 7
KEY_8	8
KEY_8_LALT	ALT + 8
KEY_8_LCONTROL	CTRL + 8
KEY_8_LSHIFT	SHIFT + 8
KEY_9	9
KEY_9_LALT	ALT + 9
KEY_9_LCONTROL	CTRL + 9
KEY_9_LSHIFT	SHIFT + 9
KEY_A	A
KEY_ADD	+
KEY_A_LALT	ALT + A
KEY_A_LCONTROL	CTRL + A
KEY_A_LSHIFT	SHIFT + A
KEY_B	B
KEY_B_LALT	ALT + B
KEY_B_LCONTROL	CTRL + B
KEY_B_LSHIFT	SHIFT + B
KEY_C	C
KEY_COMMA	,
KEY_COMMA_LALT	ALT + ,
KEY_COMMA_LCONTROL	CTRL + ,
KEY_COMMA_LSHIFT	SHIFT + ,
KEY_C_LALT	ALT + C
KEY_C_LCONTROL	CTRL + C
KEY_C_LSHIFT	SHIFT + C
KEY_D	D
KEY_DOWN	إلى الأسفل
KEY_D_LALT	ALT + D
KEY_D_LCONTROL	CTRL + D
KEY_D_LSHIFT	SHIFT + D
KEY_E	E
KEY_E_LALT	ALT + E
KEY_E_LCONTROL	CTRL + E
KEY_E_LSHIFT	SHIFT + E
KEY_F	F
KEY_F1	F1
KEY_F1_LALT	ALT + F1
KEY_F1_LCONTROL	CTRL + F1
KEY_F1_LSHIFT	SHIFT + F1
KEY_F2	F2
KEY_F2_LALT	ALT + F2
KEY_F2_LCONTROL	CTRL + F2
KEY_F2_LSHIFT	SHIFT + F2
KEY_F3	F3
KEY_F3_LALT	ALT + F3
KEY_F3_LCONTROL	F3
KEY_F3_LSHIFT	SHIFT + F3
KEY_F4	F4
KEY_F4_LALT	ALT + F4
KEY_F4_LCONTROL	CTRL + F4
KEY_F4_LSHIFT	SHIFT + F4
KEY_F5	F5
KEY_F5_LALT	ALT + F5
KEY_F5_LCONTROL	CTRL + F5
KEY_F5_LSHIFT	SHIFT + F5
KEY_F6	F6
KEY_F6_LALT	ALT + F6
KEY_F6_LCONTROL	CTRL + F6
KEY_F6_LSHIFT	SHIFT + F6
KEY_F7	F7
KEY_F7_LALT	ALT + F7
KEY_F7_LCONTROL	CTRL + F7
KEY_F7_LSHIFT	SHIFT + F7
KEY_F8	F8
KEY_F8_LALT	ALT + F8
KEY_F8_LCONTROL	CTRL + F8
KEY_F8_LSHIFT	SHIFT + F8
KEY_F9	F9
KEY_F9_LALT	ALT + F9
KEY_F9_LCONTROL	CTRL + F9
KEY_F9_LSHIFT	SHIFT + F9
KEY_F10	F10
KEY_F10_LALT	ALT + F10
KEY_F10_LCONTROL	CTRL + F10
KEY_F10_LSHIFT	SHIFT + F10
KEY_F_LALT	ALT + F
KEY_F_LCONTROL	CTRL + F
KEY_F_LSHIFT	SHIFT + F
KEY_G	G
KEY_GRAVE	~
KEY_GRAVE_LALT	ALT + ~
KEY_GRAVE_LCONTROL	CTRL + ~
KEY_GRAVE_LSHIFT	SHIFT + ~
KEY_G_LALT	ALT + G
KEY_G_LCONTROL	CTRL + G
KEY_G_LSHIFT	SHIFT + G
KEY_H	H
KEY_H_LALT	ALT + H
KEY_H_LCONTROL	CTRL + H
KEY_H_LSHIFT	SHIFT + H
KEY_I	I
KEY_I_LALT	ALT + I
KEY_I_LCONTROL	CTRL + I
KEY_I_LSHIFT	SHIFT + I
KEY_J	J
KEY_J_LALT	ALT + J
KEY_J_LCONTROL	CTRL + J
KEY_J_LSHIFT	SHIFT + J
KEY_K	K
KEY_K_LALT	ALT + K
KEY_K_LCONTROL	CTRL + K
KEY_K_LSHIFT	SHIFT + K
KEY_L	L
KEY_LALT	ALT
KEY_LCONTROL	CTRL
KEY_LEFT	إلى اليسار
KEY_LSHIFT	SHIFT
KEY_L_LALT	ALT + L
KEY_L_LCONTROL	CTRL + L
KEY_L_LSHIFT	SHIFT + L
KEY_M	M
KEY_M_LALT	ALT + M
KEY_M_LCONTROL	CTRL + M
KEY_M_LSHIFT	SHIFT + M
KEY_N	N
KEY_NUMLOCK	NUMLOCK
KEY_NUMPAD0	NUMPAD 0
KEY_NUMPAD1	NUMPAD 1
KEY_NUMPAD2	NUMPAD 2
KEY_NUMPAD3	NUMPAD 3
KEY_NUMPAD4	NUMPAD 4
KEY_NUMPAD5	NUMPAD 5
KEY_NUMPAD6	NUMPAD 6
KEY_NUMPAD7	NUMPAD 7
KEY_NUMPAD8	NUMPAD 8
KEY_NUMPAD9	NUMPAD 9
KEY_N_LALT	ALT + N
KEY_N_LCONTROL	CTRL + N
KEY_N_LSHIFT	SHIFT + N
KEY_O	O
KEY_O_LALT	ALT + O
KEY_O_LCONTROL	CTRL + O
KEY_O_LSHIFT	SHIFT + O
KEY_P	P
KEY_PERIOD	.
KEY_PERIOD_LALT	ALT + .
KEY_PERIOD_LCONTROL	CTRL + .
KEY_PERIOD_LSHIFT	SHIFT + .
KEY_PGDN	PAGE DOWN
KEY_PGUP	PAGE UP
KEY_P_LALT	ALT + P
KEY_P_LCONTROL	CTRL + P
KEY_P_LSHIFT	SHIFT + P
KEY_Q	Q
KEY_Q_LALT	ALT + Q
KEY_Q_LCONTROL	CTRL + Q
KEY_Q_LSHIFT	SHIFT + Q
KEY_R	R
KEY_RIGHT	إلى اليمين
KEY_R_LALT	ALT + R
KEY_R_LCONTROL	CTRL + R
KEY_R_LSHIFT	SHIFT + R
KEY_S	S
KEY_SPACE	مساحة
KEY_SUBTRACT	-
KEY_SYSRQ	PRT SCN
KEY_S_LALT	ALT + S
KEY_S_LCONTROL	CTRL + S
KEY_S_LSHIFT	SHIFT + S
KEY_T	T
KEY_TAB	TAB
KEY_T_LALT	ALT + T
KEY_T_LCONTROL	CTRL + T
KEY_T_LSHIFT	SHIFT + T
KEY_U	U
KEY_UP	إلى الأعلى
KEY_U_LALT	ALT + U
KEY_U_LCONTROL	CTRL + U
KEY_U_LSHIFT	SHIFT + U
KEY_V	V
KEY_V_LALT	ALT + V
KEY_V_LCONTROL	CTRL + V
KEY_V_LSHIFT	SHIFT + V
KEY_W	W
KEY_W_LALT	ALT + W
KEY_W_LCONTROL	CTRL + W
KEY_W_LSHIFT	SHIFT + W
KEY_X	X
KEY_X_LALT	ALT + X
KEY_X_LCONTROL	CTRL + X
KEY_X_LSHIFT	SHIFT + X
KEY_Y	Y
KEY_Y_LALT	ALT + Y
KEY_Y_LCONTROL	CTRL + Y
KEY_Y_LSHIFT	SHIFT + Y
KEY_Z	Z
KEY_Z_LALT	ALT + Z
KEY_Z_LCONTROL	CTRL + Z
KEY_Z_LSHIFT	SHIFT + Z
LEADER_NAME	إسم القائد
LEAVE_FROM_GUILD_SUCCESS_MESSAGE	لقد قمت بترك الرابطة.
LEFT_SEAT	[AFK]
LEFT_SEAT_IMPOSSIBLE_ACTION	هذا اللاعب في وضع AFK.
LEFT_SEAT_LOGOUT	لقد تم تسجيل خروجك بعد انتهاء وقت AFK الذي قمت بتحديده.
LEFT_SEAT_LOGOUT_WAIT_TIME_TOOLTIP	بعد أن تدخل شخصيتك وضع AFK، ستظل AFK حتى الوصول إلى المدة المحددة. سيتم بعد ذلك تسجيل خروجك تلقائيًا.
LEFT_SEAT_RELEASE_ASK	أنت في وضع AFK. هل تريد أن تصبح نشطا مرة أخرى؟
LEFT_SEAT_STATE_OFF	أنت نشط مرة أخرى.
LEFT_SEAT_STATE_ON	أنت في وضع AFK.
LEFT_SEAT_WAIT_TIME_TOOLTIP	إذا كنت غير نشط، فسوف يظهر [AFK] تحت اسم شخصيتك بعد المدة المحددة.
LEFT_TIME	الوقت المتبقي
LIMIT_LEVEL_GUILD	مستوى الرابطة: %d
LOGIN_CONNECT_FAILURE	حصل خطأ عند الاتصال بالخادم.
LOGIN_CONNECT_SUCCESS	تم ربط الاتصال بالخادم.
LOGIN_CONNETING	انتظر من فضلك. سيتم ربط الاتصال بالخادم.
LOGIN_FAILURE_ALREAY	حسابك متصل بالفعل.
LOGIN_FAILURE_BACKEND_ERR	حصل خطأ. يرجى الاتصال بفريق الدعم.
LOGIN_FAILURE_BE_SAME_KEY	خطأ في التسجيل
LOGIN_FAILURE_BLOCK_ID	تم حظر هذا الحساب.
LOGIN_FAILURE_BLOCK_LOGIN	خادم مغلق: الرجاء اختيار خادم آخر!
LOGIN_FAILURE_COUNTRY_ERR	رمز الدولة غير صحيح.\nيرجى الاتصال بفريق الدعم.
LOGIN_FAILURE_INTEGRTING	يتم حاليًا نقل حسابك. \nيرجى المحاولة مرة أخرى في بضع دقائق.
LOGIN_FAILURE_IOVATION_ERR	يرجى تفعيل المصادقة الثنائية للدخول إلى هذا الخادم.
LOGIN_FAILURE_NOBILL	لم يُسجل في هذا الحساب وقتُ لعب بعد.
LOGIN_FAILURE_NOT_AVAIL	هذا الحساب ليس متاحًا.
LOGIN_FAILURE_NOT_EXIST_ID	خطأ في اسم الحساب أو في كلمة السر.
LOGIN_FAILURE_NOT_MAIL_CONFIRM	يجب عليك تأكيد حسابك عبر البريد الإلكتروني.
LOGIN_FAILURE_REPAIR_ID	سيتم إرجاع المعدات لهذا الحساب.
LOGIN_FAILURE_SAMELOGIN	سجل أحد الأشخاص الدخول بحسابك.
LOGIN_FAILURE_SERVER_CLOSED	خادم مغلق: يمكن فقط للحسابات التي تم انشائها قبل إغلاق الخادم الدخول اليه. الرجاء اختيار خادم آخر!
LOGIN_FAILURE_SERVER_GRADE	هذا خادم حصري، ولا يمكن للأسف لهذا الحساب الوصول إليه.
LOGIN_FAILURE_SHUTDOWN	الخادم غير متوفر.
LOGIN_FAILURE_STEAM_SESSION	تسجيل الدخول للحسابات المنقولة / التسجيل الجديد غير ممكن.
LOGIN_FAILURE_TNT_SESSION	لقد تعذر فتح العميل. يرجى اعادة تشغيل المشغل وتسجيل الدخول.
LOGIN_FAILURE_TOO_MANY_USER	لقد تعذر ربط الاتصال بسبب العدد الكبير للاعبين.
LOGIN_FAILURE_UNKNOWN	إنك لم تنجح في تسجيل الدخول نظراً لأسباب مجهولة.
LOGIN_FAILURE_WEB_BLOCK	لقد تم فرض حظر عليك في هذه الصفحة. الرجاء مراجعة صندوق بريدك الإلكتروني.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER	إن الرقم المُدرج غير صحيح.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER_TRIPLE	لقد أدخلت ثلاث مرات رقماً خاطئاً. سيتم الآن فصل الاتصال.
LOGIN_FAILURE_WRONG_PASSWORD	خطأ في اسم الحساب أو في كلمة السر.
LOGIN_INPUT_ID	الرجاء إدخال المُعرِّف.
LOGIN_INPUT_PASSWORD	الرجاء إدخال كلمة السّر.
LOGIN_PROCESSING	جاري التسجيل...
LOOTING_SYSTEM_CANNOT_OPEN_MAP	لا يمكن فتح هذا هنا.
LOOTING_TICKET_DURATION	الوقت المتبقي: %s
LUCKY_BOX_DIALOG_RECV_TEXT	هل تريد قبول البند؟
LUCKY_BOX_DIALOG_RETRY_TEXT	هل تود تجربة حظك مجددا؟
MAILBOX_FAIL_USE_TIME_LIMIT	يتم تحديث صندوق البريد. الرجاء إعادة المحاولة لاحقًا.
MAILBOX_POST_ALL_DELETE_FAIL_EMPTY	لا رسائل جديدة
MAILBOX_POST_ALL_DELETE_QUESTION1	حذف جميع الرسائل؟
MAILBOX_POST_ALL_DELETE_QUESTION2	لن يتم حذف الرسائل التي تحتوي على مرفقات.
MAILBOX_POST_ALL_GET_ITEMS_FAIL_EMPTY	لا يوجد لديك اي رسائل تحتوي مرفقات في صندوق البريد الخاص بك.
MAILBOX_POST_ALL_GET_ITEMS_QUESTION	قبول المرفقات؟ (سيتم إقتطاع 5% يانغ كضرائب)
MAILBOX_POST_DELETE_FAIL_EXIST_ITEMS	لا يمكن حذف الرسالة. يرجى قبول المرفقات أولا.
MAILBOX_POST_DELETE_QUESTION	هل تريد بالفعل حذف هذه الرسالة؟
MAILBOX_POST_GET_ITEMS_NOT_ENOUGHT_INVENTORY	لا يمكن قبول البنود. قائمة الجرد الخاصة بك ممتلئة.
MAILBOX_POST_GET_ITEMS_QUESTION	قبول المرفقات؟ (سيتم إقتطاع 5% يانغ كضرائب)
MAILBOX_POST_GET_ITEMS_WON_OVERFLOW	لا يمكنك قبول المزيد من الوون.
MAILBOX_POST_GET_ITEMS_YANG_OVERFLOW	لا يمكنك قبول المزيد من اليانغ.
MAILBOX_POST_GM_ARRIVE	رسالة مشرف اللعبة
MAILBOX_POST_NOT_CONFIRM_INFO_1	رسائل غير مقروءة: %d
MAILBOX_POST_NOT_CONFIRM_INFO_2	بمرفقات: %d / بدون مرفقات: %d
MAILBOX_POST_READ_BLOCK	هل أنت متأكد بأنك تود حظر %s؟
MAILBOX_POST_WRITE_ALREADY_ITEM	يمكنك فقط ارسال بند واحد في الرسالة.
MAILBOX_POST_WRITE_CAN_NOT_SPLIT_ITEM	قم بفصل البنود المجمعة في قائمة الجرد الخاصة بك قبل إرسال احدها في رسالة.
MAILBOX_POST_WRITE_CONFIRM_FAIL	المتلقي غير معروف. لا يمكن إرسال الرسالة.
MAILBOX_POST_WRITE_CONFIRM_FULL_MAILBOX	صندوق البريد الخاص بالمتلقي ممتليء. لا يمكن إرسال الرسالة.
MAILBOX_POST_WRITE_LEVEL_LIMIT	يمكنك إرسال الرسائل ابتداءً من المستوى 20.
MAILBOX_POST_WRITE_MONEY_NOT_ENOUGHT	ليس لديك ما يكفي من اليانغ لإرسال هذه الرسالة.
MAILBOX_POST_WRITE_NAME_CHECK	قم بتأكيد اسم متلقي الرسالة عبر الضغط على "التحقق من المتلقي".
MAILBOX_POST_WRITE_NAME_EMPTY	أدخل اسم المتلقي.
MAILBOX_POST_WRITE_OK	تم إرسال الرسالة بنجاح.
MAILBOX_POST_WRITE_QUESTION1	هل تود ارسال الرسالة إلى %s الآن؟
MAILBOX_POST_WRITE_QUESTION2	رسوم التوصيل: %d يانغ
MAILBOX_POST_WRITE_SEND_FAIL_EMPTY_NAME	أدخل اسم المتلقي.
MAILBOX_POST_WRITE_SEND_FAIL_EMPTY_TITLE	أدخل العنوان.
MAILBOX_POST_WRITE_SEND_MONEY_TITLE	مبلغ من المال
MAILBOX_POST_WRITE_WRONG_ITEM	لا يمكنك ارسال بند مُرتبط بالروح.
MAILBOX_POST_WRITE_WRONG_MESSAGE	الرسالة تحتوي على كلمات مُخلة بالأدب.
MAILBOX_POST_WRITE_WRONG_TITLE	العنوان يحتوي على كلمات مُخلة بالأدب.
MALL_CANNOT_INSERT	لا يمكنك وضع الشيء.
MALL_PASSWORD_DESC1	الرجاء إدخال كلمة المرور،
MALL_PASSWORD_DESC2	لفتح مستودع متجر البنود.
MALL_PASSWORD_TITLE	كلمة السّر
MAP_12ZI_STAGE	معبد زودياك
MAP_A1	منطقة يونغان
MAP_A2	وادي سوينغريونغ
MAP_A2_1	
MAP_A3	منطقة يايانغ
MAP_AG	جونغرانغ
MAP_B1	منطقة جوان
MAP_B2	وادي إمجي
MAP_B3	إقليم بوكيونغ
MAP_BATTLEARENA_01	معركة الحصن
MAP_BATTLEARENA_02	معركة الحصن
MAP_BATTLEARENA_03	معركة الحصن
MAP_BATTLE_FIELD	منطقة المعركة
MAP_BATTLE_ROYALE	باتل رويال
MAP_BAY	خليج نيفريت
MAP_BAYBLACKSAND	خليج نيفريت
MAP_BG	واريونغ
MAP_BOSS_AWAKEN_DAWNMIST	ا.ح: غابة مسحورة
MAP_BOSS_AWAKEN_FLAME	ا.ح: قلعة التنين الأحمر
MAP_BOSS_AWAKEN_SKIPIA	ا.ح: كهف اللعنة
MAP_BOSS_AWAKEN_SNOW	ا.ح: بُرج النمير
MAP_BOSS_CRACK_DAWNMIST	ف.ز: غابة مسحورة
MAP_BOSS_CRACK_FLAME	ف.ز: قلعة التنين الأحمر
MAP_BOSS_CRACK_SKIPIA	ف.ز: كهف اللعنة
MAP_BOSS_CRACK_SNOW	ف.ز: بُرج النمير
MAP_BOSS_LABYRINTH	تلة الأوهام
MAP_C1	منطقة بيونغمو
MAP_C2	وادي بانغسان
MAP_C3	منطقة باكرا
MAP_CAPE	رأس نار التنين
MAP_CAPEDRAGONHEAD	رأس نار التنين
MAP_CG	إمها
MAP_CZ_DUNGEON	معبد زودياك
MAP_DAWN	جرف غواتاما
MAP_DAWNMISTWOOD	جرف غواتاما
MAP_DAWNMIST_DUNGEON_01	غابة مسحورة
MAP_DEFENSE_WAVE	الدفاع عن السفينة
MAP_DEFENSE_WAVE_PORT	ميناء
MAP_DESERT	صحراء يونغبي
MAP_DEVILCATACOMB	سرداب الموت
MAP_DEVILTOWER1	برج الشياطين
MAP_DUEL	ساحة تداريب القتال
MAP_E	منطقة الليكانر
MAP_EASTPLAIN_01	دونج_جوانج
MAP_EASTPLAIN_02	أراضي سيوغان
MAP_EASTPLAIN_03	نام_جوانج
MAP_ELEMENTAL_DUNGEON	عالم العناصر
MAP_ELEMENTAL_DUNGEON_DARK	عالم العناصر (ظلام)
MAP_ELEMENTAL_DUNGEON_ELECTRICITY	عالم العناصر (برق)
MAP_ELEMENTAL_DUNGEON_FIRE	عالم العناصر (نار)
MAP_EMPIRECASTLE	القلعة المهجورة
MAP_EMPIREWAR01	معركة الحصن
MAP_EMPIREWAR02	معركة الحصن
MAP_EMPIREWAR03	معركة الحصن
MAP_FARMING_DUNGEON	برج محصن غامض
MAP_FLAME	دويومهوان
MAP_GOLDEN_LAND	الأرض الذهبية - المدخل
MAP_GOLDEN_LAND_STAGE	الأرض الذهبية
MAP_GUILD_01	جونغرانغ
MAP_GUILD_02	واريونغ
MAP_GUILD_03	إمها
MAP_GUILD_BATTLE	منطقة معركة الرابطة
MAP_GUILD_BATTLE_AREA	منطقة معركة الرابطة
